Title,Score,Episodes,Genres,Status
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,87.0,14.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,87.0,1.0,"Action, Comedy, Sci-Fi",FINISHED
Hibike! Euphonium 3,87.0,13.0,"Drama, Music, Slice of Life",FINISHED
VINLAND SAGA,87.0,24.0,"Action, Adventure, Drama",FINISHED
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,87.0,10.0,"Comedy, Drama, Sports",FINISHED
Kizumonogatari III: Reiketsu-hen,87.0,1.0,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",FINISHED
CLANNAD: After Story,87.0,24.0,"Drama, Romance, Slice of Life, Supernatural",FINISHED
Jujutsu Kaisen 2nd Season,87.0,23.0,"Action, Drama, Supernatural",FINISHED
THE FIRST SLAM DUNK,87.0,1.0,Sports,FINISHED
Boku no Kokoro no Yabai Yatsu 2nd Season,87.0,13.0,"Comedy, Romance, Slice of Life",FINISHED
Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen,87.0,1.0,"Action, Drama, Fantasy, Mystery, Psychological",FINISHED
Mob Psycho 100 III,87.0,12.0,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",FINISHED
Bocchi the Rock!,87.0,12.0,"Comedy, Music, Slice of Life",FINISHED
Shoujo☆Kageki Revue Starlight Movie,87.0,1.0,"Action, Drama, Music, Psychological",FINISHED
Look Back,87.0,1.0,"Drama, Slice of Life",FINISHED
Uma Musume: Pretty Derby - Shin Jidai no Tobira,87.0,1.0,"Drama, Psychological, Slice of Life, Sports",FINISHED
Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen,87.0,1.0,"Action, Drama, Fantasy, Psychological, Romance",FINISHED
Code Geass: Hangyaku no Lelouch R2,87.0,25.0,"Action, Drama, Mecha, Sci-Fi, Thriller",FINISHED
Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,86.0,13.0,"Action, Adventure, Fantasy",RELEASING
BLEACH: Sennen Kessen-hen - Soukoku-tan,86.0,14.0,"Action, Adventure, Supernatural",FINISHED
Hajime no Ippo: THE FIGHTING!,86.0,75.0,"Comedy, Drama, Sports",FINISHED
Monogatari Series: Off & Monster Season,86.0,14.0,"Drama, Mystery, Supernatural",FINISHED
86: Eighty Six Part 2,86.0,12.0,"Action, Drama, Mecha, Sci-Fi",FINISHED
Mushishi Zoku Shou 2,86.0,10.0,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",FINISHED
Idol,86.0,1.0,Psychological,FINISHED
Shingeki no Kyojin: The Final Season,86.0,16.0,"Action, Drama, Fantasy, Mystery",FINISHED
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,86.0,12.0,Drama,FINISHED
Haikyuu!!: Gomi Suteba no Kessen,86.0,1.0,"Comedy, Drama, Sports",FINISHED
Shiguang Dailiren II,86.0,12.0,"Drama, Mystery, Supernatural, Thriller",FINISHED
Shiguang Dailiren,86.0,11.0,"Drama, Mystery, Supernatural, Thriller",FINISHED
Kimetsu no Yaiba: Yuukaku-hen,86.0,11.0,"Action, Adventure, Fantasy, Supernatural",FINISHED
Shingeki no Kyojin: The Final Season Part 2,86.0,12.0,"Action, Drama, Fantasy, Mystery, Psychological",FINISHED
Gintama.: Shirogane no Tamashii-hen,86.0,12.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
BLEACH: Sennen Kessen-hen - Ketsubetsu-tan,86.0,13.0,"Action, Adventure, Supernatural",FINISHED
ARIA The ORIGINATION,86.0,13.0,"Fantasy, Sci-Fi, Slice of Life",FINISHED
Haikyuu!! 2nd Season,86.0,25.0,"Comedy, Drama, Sports",FINISHED
Mushishi Zoku Shou,86.0,10.0,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",FINISHED
Cowboy Bebop,86.0,26.0,"Action, Adventure, Drama, Sci-Fi",FINISHED
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,86.0,12.0,"Comedy, Psychological, Romance, Slice of Life",FINISHED
Suzumiya Haruhi no Shoushitsu,86.0,1.0,"Drama, Mystery, Sci-Fi, Supernatural",FINISHED
Sen to Chihiro no Kamikakushi,86.0,1.0,"Adventure, Drama, Fantasy, Supernatural",FINISHED
[Oshi no Ko] 2nd Season,85.0,13.0,"Drama, Mystery, Psychological, Supernatural",FINISHED
Made in Abyss: Retsujitsu no Ougonkyou,85.0,12.0,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",FINISHED
Ping Pong THE ANIMATION,85.0,11.0,"Drama, Psychological, Sports",FINISHED
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,85.0,12.0,"Adventure, Drama, Ecchi, Fantasy",FINISHED
Modao Zushi 3,85.0,12.0,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",FINISHED
Made in Abyss: Fukaki Tamashii no Reimei,85.0,1.0,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Psychological, Sci-Fi",FINISHED
Kimi no Na wa.,85.0,1.0,"Drama, Romance, Supernatural",FINISHED
Kusuriya no Hitorigoto 2nd Season,85.0,24.0,"Drama, Mystery",RELEASING
Bungou Stray Dogs 5th Season,85.0,11.0,"Action, Comedy, Mystery, Supernatural",FINISHED
Odd Taxi,85.0,13.0,"Drama, Mystery, Psychological, Thriller",FINISHED
Tian Guan Ci Fu 2,85.0,12.0,"Adventure, Drama, Fantasy, Romance",FINISHED
Kingdom 3rd Season,85.0,26.0,Action,FINISHED
Fruits Basket: 2nd Season,85.0,25.0,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",FINISHED
Fate/stay night [Heaven's Feel] III. spring song,85.0,1.0,"Action, Drama, Fantasy, Psychological, Supernatural, Thriller",FINISHED
Hajime no Ippo: New Challenger,85.0,26.0,"Comedy, Drama, Sports",FINISHED
Shin Evangelion Movie:||,85.0,1.0,"Action, Drama, Mecha, Psychological, Sci-Fi",FINISHED
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,85.0,16.0,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",RELEASING
Haikyuu!! TO THE TOP 2,85.0,12.0,"Comedy, Drama, Sports",FINISHED
Shingeki no Kyojin 3,85.0,12.0,"Action, Drama, Fantasy, Mystery",FINISHED
Violet Evergarden,85.0,13.0,"Drama, Fantasy, Slice of Life",FINISHED
"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",85.0,1.0,"Action, Drama, Mecha, Psychological, Sci-Fi",FINISHED
Dandadan,85.0,12.0,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",FINISHED
Cyberpunk: Edgerunners,85.0,10.0,"Action, Drama, Psychological, Sci-Fi",FINISHED
Natsume Yuujinchou Shi,85.0,13.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
PERFECT BLUE,85.0,1.0,"Drama, Horror, Psychological, Thriller",FINISHED
Dungeon Meshi,85.0,24.0,"Adventure, Comedy, Fantasy",FINISHED
Jujutsu Kaisen,85.0,24.0,"Action, Drama, Supernatural",FINISHED
Natsume Yuujinchou Roku,85.0,11.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Kimi ni Todoke 3RD SEASON,85.0,5.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
Made in Abyss,85.0,13.0,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",FINISHED
Kizumonogatari II: Nekketsu-hen,85.0,1.0,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",FINISHED
Tengen Toppa Gurren Lagann,85.0,27.0,"Action, Comedy, Drama, Mecha, Romance, Sci-Fi",FINISHED
Gintama,85.0,201.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
Mushishi,85.0,26.0,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",FINISHED
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,85.0,4.0,"Action, Drama, Romance",FINISHED
[Oshi no Ko],85.0,11.0,"Drama, Mystery, Psychological, Supernatural",FINISHED
Yojouhan Shinwa Taikei,85.0,11.0,"Comedy, Mystery, Psychological, Romance",FINISHED
Code Geass: Hangyaku no Lelouch,85.0,25.0,"Action, Drama, Mecha, Sci-Fi, Thriller",FINISHED
Chihayafuru 3,84.0,24.0,"Drama, Romance, Slice of Life, Sports",FINISHED
Owarimonogatari,84.0,12.0,"Drama, Mystery, Psychological, Supernatural",FINISHED
Hajime no Ippo: Rising,84.0,25.0,"Comedy, Drama, Sports",FINISHED
Fate/Zero 2nd Season,84.0,12.0,"Action, Drama, Fantasy, Supernatural",FINISHED
NANA,84.0,47.0,"Drama, Music, Romance, Slice of Life",FINISHED
Howl no Ugoku Shiro,84.0,1.0,"Adventure, Drama, Fantasy, Romance",FINISHED
Mononoke-hime,84.0,1.0,"Action, Adventure, Drama, Fantasy",FINISHED
Kingdom 5th Season,84.0,13.0,Action,FINISHED
Kingdom 4th Season,84.0,26.0,Action,FINISHED
Shingeki no Kyojin 2,84.0,12.0,"Action, Drama, Fantasy, Mystery",FINISHED
Shingeki no Kyojin,84.0,25.0,"Action, Drama, Fantasy, Mystery",FINISHED
Tengen Toppa Gurren Lagann: Lagann-hen,84.0,1.0,"Action, Drama, Mecha, Romance, Sci-Fi",FINISHED
GTO,84.0,43.0,"Comedy, Drama, Slice of Life",FINISHED
Yuru Camp△ SEASON 2,84.0,13.0,"Comedy, Slice of Life",FINISHED
JoJo no Kimyou na Bouken: Ougon no Kaze,84.0,39.0,"Action, Adventure, Drama, Mystery, Supernatural",FINISHED
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,84.0,39.0,"Action, Adventure, Drama, Mystery, Supernatural",FINISHED
Natsume Yuujinchou Go,84.0,11.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Mob Psycho 100,84.0,12.0,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",FINISHED
Mushishi Tokubetsu-hen: Suzu no Shizuku,84.0,1.0,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",FINISHED
Natsume Yuujinchou San,84.0,13.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Natsume Yuujinchou Shichi,84.0,12.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Bungou Stray Dogs 4th Season,84.0,13.0,"Action, Comedy, Mystery, Supernatural",FINISHED
Tian Guan Ci Fu Special,84.0,1.0,"Drama, Fantasy, Romance",FINISHED
PLUTO,84.0,8.0,"Action, Mecha, Mystery, Psychological, Sci-Fi",FINISHED
Shouwa Genroku Rakugo Shinjuu,84.0,13.0,Drama,FINISHED
SPY×FAMILY,84.0,12.0,"Action, Comedy, Slice of Life, Supernatural",FINISHED
Jujutsu Kaisen 0,84.0,1.0,"Action, Supernatural",FINISHED
Kimetsu no Yaiba: Mugen Ressha-hen,84.0,1.0,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",FINISHED
Sora yori mo Tooi Basho,84.0,13.0,"Adventure, Comedy, Drama",FINISHED
DEATH NOTE,84.0,37.0,"Mystery, Psychological, Supernatural, Thriller",FINISHED
Chainsaw Man,84.0,12.0,"Action, Drama, Horror, Supernatural",FINISHED
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,84.0,12.0,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",FINISHED
Ousama Ranking,84.0,23.0,"Action, Adventure, Drama, Fantasy",FINISHED
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,84.0,1.0,"Drama, Psychological, Romance, Supernatural",FINISHED
Zoku Owarimonogatari,84.0,6.0,"Drama, Mystery, Supernatural",FINISHED
Steins;Gate 0,84.0,23.0,"Drama, Psychological, Sci-Fi, Thriller",FINISHED
Shigatsu wa Kimi no Uso,84.0,22.0,"Drama, Music, Romance, Slice of Life",FINISHED
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,84.0,26.0,"Action, Mystery, Psychological, Sci-Fi",FINISHED
Karakai Jouzu no Takagi-san Movie,84.0,1.0,"Comedy, Romance, Slice of Life",FINISHED
Kimi no Suizou wo Tabetai,84.0,1.0,"Drama, Romance, Slice of Life",FINISHED
Fate/stay night [Heaven's Feel] II. lost butterfly,84.0,1.0,"Action, Fantasy, Psychological, Romance, Supernatural, Thriller",FINISHED
Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari,84.0,1.0,"Drama, Fantasy, Mahou Shoujo, Mystery, Psychological, Thriller",FINISHED
Kara no Kyoukai: Mujun Rasen,84.0,1.0,"Action, Drama, Mystery, Romance, Supernatural, Thriller",FINISHED
Samurai Champloo,84.0,26.0,"Action, Adventure, Comedy",FINISHED
Kenpuu Denki Berserk,84.0,25.0,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",FINISHED
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,84.0,12.0,"Adventure, Drama, Ecchi, Fantasy",FINISHED
Saiki Kusuo no Ψ-nan 2,83.0,24.0,"Comedy, Slice of Life, Supernatural",FINISHED
GIRLS BAND CRY,83.0,13.0,"Drama, Music, Slice of Life",FINISHED
Summer Time Render,83.0,25.0,"Action, Drama, Mystery, Supernatural, Thriller",FINISHED
Wu Liuqi: Xuanwu Guo Pian,83.0,10.0,"Action, Comedy",FINISHED
Golden Kamuy 3rd Season,83.0,12.0,"Action, Adventure, Comedy",FINISHED
Haikyuu!!,83.0,25.0,"Comedy, Drama, Sports",FINISHED
Bakuman. 3,83.0,25.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
K-ON! Movie,83.0,1.0,"Comedy, Music, Slice of Life",FINISHED
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,83.0,1.0,"Drama, Fantasy, Slice of Life",FINISHED
Mushishi: Hihamukage,83.0,1.0,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",FINISHED
Ookami Kodomo no Ame to Yuki,83.0,1.0,"Drama, Fantasy, Romance, Slice of Life",FINISHED
Zoku Natsume Yuujinchou,83.0,13.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Haikyuu!! TO THE TOP,83.0,13.0,"Comedy, Drama, Sports",FINISHED
Yakusoku no Neverland,83.0,12.0,"Drama, Fantasy, Horror, Mystery, Psychological, Thriller",FINISHED
Ansatsu Kyoushitsu 2,83.0,25.0,"Action, Comedy, Drama, Supernatural",FINISHED
Gintama: Shinyaku Benizakura-hen,83.0,1.0,"Action, Comedy, Sci-Fi",FINISHED
Yuru Camp△ Movie,83.0,1.0,"Comedy, Slice of Life",FINISHED
Hibike! Euphonium 2,83.0,13.0,"Drama, Music, Slice of Life",FINISHED
Chihayafuru 2,83.0,25.0,"Drama, Romance, Slice of Life, Sports",FINISHED
Tian Guan Ci Fu,83.0,11.0,"Adventure, Drama, Fantasy, Romance",FINISHED
Kono Oto Tomare! 2,83.0,13.0,"Drama, Music, Romance, Slice of Life",FINISHED
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,83.0,12.0,"Comedy, Psychological, Romance, Slice of Life",FINISHED
3-gatsu no Lion,83.0,22.0,"Drama, Slice of Life",FINISHED
Uchuu Kyoudai,83.0,99.0,"Comedy, Sci-Fi, Slice of Life",FINISHED
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,83.0,1.0,"Drama, Psychological, Romance, Supernatural",FINISHED
BLUE GIANT,83.0,1.0,"Drama, Music",FINISHED
Fruits Basket: prelude,83.0,1.0,"Drama, Romance",FINISHED
Tensei Shitara Slime Datta Ken 2nd Season,83.0,12.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Modao Zushi 2,83.0,8.0,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",FINISHED
One Punch Man,83.0,12.0,"Action, Comedy, Sci-Fi, Supernatural",FINISHED
Dr. STONE: NEW WORLD Part 2,83.0,11.0,"Action, Adventure, Comedy, Sci-Fi",FINISHED
Liz to Aoi Tori,83.0,1.0,"Drama, Music, Slice of Life",FINISHED
Houseki no Kuni,83.0,12.0,"Action, Drama, Fantasy, Mystery, Psychological",FINISHED
Hotaru no Haka,83.0,1.0,Drama,FINISHED
Bocchi the Rock! Re:,83.0,1.0,"Comedy, Music, Slice of Life",FINISHED
Kaijuu 8-gou,83.0,12.0,"Action, Sci-Fi",FINISHED
Non Non Biyori: Nonstop,83.0,12.0,"Comedy, Slice of Life",FINISHED
Made in Abyss: Hourou Suru Tasogare,83.0,1.0,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",FINISHED
BANANA FISH,83.0,24.0,"Action, Adventure, Drama, Psychological, Thriller",FINISHED
Nichijou,83.0,26.0,"Comedy, Slice of Life",FINISHED
SLAM DUNK,83.0,101.0,"Comedy, Drama, Slice of Life, Sports",FINISHED
Shin Seiki Evangelion,83.0,26.0,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",FINISHED
Shiguang Dailiren: Yingdu Pian,83.0,6.0,"Drama, Mystery, Supernatural, Thriller",FINISHED
Kage no Jitsuryokusha ni Naritakute! 2nd season,83.0,12.0,"Action, Comedy, Fantasy",FINISHED
Meitantei Conan: Kurogane no Submarine,83.0,1.0,"Drama, Mystery",FINISHED
Dou Po Cangqiong: San Nian Zhi Yue,83.0,13.0,"Action, Adventure, Fantasy",FINISHED
Kono Subarashii Sekai ni Shukufuku wo! 3,83.0,11.0,"Action, Adventure, Comedy, Ecchi, Fantasy",FINISHED
Kimetsu no Yaiba,83.0,26.0,"Action, Adventure, Drama, Fantasy, Supernatural",FINISHED
Kaze ga Tsuyoku Fuiteiru,83.0,23.0,"Drama, Sports",FINISHED
Saenai Heroine no Sodatekata Fine,83.0,1.0,"Comedy, Romance, Slice of Life",FINISHED
Mahou Shoujo Madoka☆Magica,83.0,12.0,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",FINISHED
Kizumonogatari I: Tekketsu-hen,83.0,1.0,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",FINISHED
Ore dake Level Up na Ken,82.0,12.0,"Action, Adventure, Fantasy",FINISHED
Gintama: THE SEMI-FINAL,82.0,2.0,"Action, Comedy",FINISHED
Tensei Shitara Slime Datta Ken 2nd Season Part 2,82.0,12.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Josee to Tora to Sakanatachi,82.0,1.0,"Drama, Romance, Slice of Life",FINISHED
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,82.0,13.0,"Action, Adventure, Drama, Fantasy, Psychological, Thriller",FINISHED
Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu,82.0,1.0,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",FINISHED
Saiki Kusuo no Ψ-nan,82.0,120.0,"Comedy, Slice of Life, Supernatural",FINISHED
Major S5,82.0,25.0,"Comedy, Drama, Romance, Sports",FINISHED
BLEACH 20th PV,82.0,1.0,"Action, Adventure, Supernatural",FINISHED
Bocchi the Rock! Re:Re:,82.0,1.0,"Comedy, Music, Slice of Life",FINISHED
ROAD OF NARUTO,82.0,1.0,"Action, Adventure, Drama, Fantasy, Supernatural",FINISHED
Sasaki to Miyano: Sotsugyou-hen,82.0,1.0,"Comedy, Romance, Slice of Life",FINISHED
IDOLiSH7: Third BEAT! Part 2,82.0,17.0,"Drama, Music, Psychological",FINISHED
Kamisama Hajimemashita: Kako-hen,82.0,4.0,"Comedy, Fantasy, Romance, Supernatural",FINISHED
Bakemonogatari,82.0,15.0,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",FINISHED
Yuu☆Yuu☆Hakusho,82.0,112.0,"Action, Adventure, Comedy, Supernatural",FINISHED
HUNTER×HUNTER,82.0,62.0,"Action, Adventure, Fantasy",FINISHED
BanG Dream! It's MyGO!!!!!,82.0,13.0,"Drama, Music, Slice of Life",FINISHED
Kimetsu no Yaiba: Mugen Ressha-hen (TV),82.0,7.0,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",FINISHED
Diamond no Ace: Second Season,82.0,51.0,Sports,FINISHED
Karakai Jouzu no Takagi-san 3,82.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
86: Eighty Six,82.0,11.0,"Action, Drama, Mecha, Sci-Fi",FINISHED
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",82.0,1.0,"Drama, Fantasy, Romance, Slice of Life",FINISHED
JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,82.0,24.0,"Action, Adventure, Drama, Supernatural",FINISHED
Mushishi Zoku Shou: Odoro no Michi,82.0,1.0,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",FINISHED
Koukaku Kidoutai: STAND ALONE COMPLEX,82.0,26.0,"Action, Mystery, Psychological, Sci-Fi",FINISHED
BanG Dream! Ave Mujica,82.0,13.0,"Drama, Music, Psychological",RELEASING
Yubisaki to Renren,82.0,12.0,"Romance, Slice of Life",FINISHED
MILGRAM Second Season,82.0,10.0,"Mystery, Psychological",FINISHED
Chi. Chikyuu no Undou ni Tsuite,82.0,25.0,Drama,RELEASING
JoJo no Kimyou na Bouken: Stone Ocean Part 2,82.0,26.0,"Action, Adventure, Drama, Supernatural",FINISHED
Girls und Panzer: Saishuushou 4,82.0,1.0,"Action, Sports",FINISHED
World Trigger 3rd Season,82.0,14.0,"Action, Sci-Fi",FINISHED
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,82.0,12.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
Mushoku Tensei: Isekai Ittara Honki Dasu,82.0,11.0,"Adventure, Drama, Ecchi, Fantasy",FINISHED
Diamond no Ace act II,82.0,52.0,Sports,FINISHED
Natsume Yuujinchou: Utsusemi ni Musubu,82.0,1.0,"Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Gintama.: Porori-hen,82.0,13.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
Shingeki no Kyojin Gaiden: Kuinaki Sentaku,82.0,2.0,"Action, Fantasy",FINISHED
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Yakusai-hen,82.0,11.0,"Action, Adventure, Comedy, Fantasy, Romance",FINISHED
Boku no Hero Academia 6,82.0,25.0,"Action, Adventure",FINISHED
Grand Blue,82.0,12.0,"Comedy, Slice of Life, Sports",FINISHED
Senki Zesshou Symphogear XV,82.0,13.0,"Action, Drama, Mahou Shoujo, Music, Sci-Fi",FINISHED
Steins;Gate: Fuka Ryouiki no Déjà vu,82.0,1.0,"Drama, Romance, Sci-Fi, Thriller",FINISHED
Shoujo Kakumei Utena,82.0,39.0,"Drama, Fantasy, Mystery, Psychological, Romance",FINISHED
Cowboy Bebop: Tengoku no Tobira,82.0,1.0,"Action, Drama, Mystery, Sci-Fi",FINISHED
Suzume no Tojimari,82.0,1.0,"Adventure, Fantasy, Mystery, Supernatural",FINISHED
Vivy: Fluorite Eye’s Song,82.0,13.0,"Action, Drama, Music, Sci-Fi, Thriller",FINISHED
Given,82.0,11.0,"Drama, Music, Romance, Slice of Life",FINISHED
Kawaki wo Ameku,82.0,1.0,,FINISHED
Barakamon,82.0,12.0,Slice of Life,FINISHED
K-ON!!,82.0,26.0,"Comedy, Music, Slice of Life",FINISHED
SPY×FAMILY Part 2,82.0,13.0,"Action, Comedy, Slice of Life, Supernatural",FINISHED
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,82.0,1.0,"Drama, Fantasy, Psychological",FINISHED
Fruits Basket: 1st Season,82.0,25.0,"Comedy, Drama, Romance, Slice of Life, Supernatural",FINISHED
Gyakkyou Burai Kaiji: Hakairoku-hen,82.0,26.0,"Psychological, Thriller",FINISHED
Initial D,82.0,26.0,"Action, Drama, Sports",FINISHED
Horimiya: piece,82.0,13.0,"Comedy, Romance, Slice of Life",FINISHED
Tengoku Daimakyou,82.0,13.0,"Adventure, Mystery, Sci-Fi, Thriller",FINISHED
Mushoku Tensei II: Isekai Ittara Honki Dasu,82.0,13.0,"Adventure, Drama, Ecchi, Fantasy",FINISHED
Kage no Jitsuryokusha ni Naritakute!,82.0,20.0,"Action, Comedy, Fantasy",FINISHED
GOTCHA!,82.0,1.0,Adventure,FINISHED
GREAT PRETENDER,82.0,23.0,"Action, Comedy, Drama, Thriller",FINISHED
Kobayashi-san Chi no Maidragon S,82.0,12.0,"Comedy, Fantasy, Slice of Life",FINISHED
Modao Zushi,82.0,15.0,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",FINISHED
Fate/stay night: Unlimited Blade Works 2nd Season,82.0,13.0,"Action, Drama, Fantasy, Supernatural",FINISHED
Gyakkyou Burai Kaiji: Ultimate Survivor,82.0,26.0,"Psychological, Thriller",FINISHED
Meitantei Conan,82.0,,"Adventure, Comedy, Mystery, Psychological",RELEASING
Kotarou wa Hitorigurashi,81.0,10.0,"Comedy, Drama, Slice of Life",FINISHED
Yuukoku no Moriarty Part 2,81.0,13.0,"Drama, Mystery, Psychological, Thriller",FINISHED
Uma Musume: Pretty Derby Season 2,81.0,13.0,"Drama, Slice of Life, Sports",FINISHED
SHIROBAKO,81.0,24.0,"Comedy, Drama, Slice of Life",FINISHED
